nuts_id;nuts_region_order;nuts_country_order;nuts_level;nuts_country_official;nuts_1_official;nuts_2_official;nuts_3_official;nuts_country_latin;nuts_1_latin;nuts_2_latin;nuts_3_latin
"UKG1";"1678";"28";"2";"United Kingdom";"West Midlands (England)";"Herefordshire, Worcestershire and Warwickshire";"-";"United Kingdom";"West Midlands (England)";"Herefordshire, Worcestershire and Warwickshire";"-"
"UKG2";"1682";"28";"2";"United Kingdom";"West Midlands (England)";"Shropshire and Staffordshire";"-";"United Kingdom";"West Midlands (England)";"Shropshire and Staffordshire";"-"
"UKG3";"1687";"28";"2";"United Kingdom";"West Midlands (England)";"West Midlands";"-";"United Kingdom";"West Midlands (England)";"West Midlands";"-"
"UKH1";"1696";"28";"2";"United Kingdom";"East of England";"East Anglia";"-";"United Kingdom";"East of England";"East Anglia";"-"
"UKH2";"1703";"28";"2";"United Kingdom";"East of England";"Bedfordshire and Hertfordshire";"-";"United Kingdom";"East of England";"Bedfordshire and Hertfordshire";"-"
"UKH3";"1708";"28";"2";"United Kingdom";"East of England";"Essex";"-";"United Kingdom";"East of England";"Essex";"-"
"UKI3";"1716";"28";"2";"United Kingdom";"London";"Inner London — West";"-";"United Kingdom";"London";"Inner London — West";"-"
"UKI4";"1721";"28";"2";"United Kingdom";"London";"Inner London — East";"-";"United Kingdom";"London";"Inner London — East";"-"
"UKI5";"1727";"28";"2";"United Kingdom";"London";"Outer London — East and North East";"-";"United Kingdom";"London";"Outer London — East and North East";"-"
"UKI6";"1732";"28";"2";"United Kingdom";"London";"Outer London — South";"-";"United Kingdom";"London";"Outer London — South";"-"
"UKI7";"1736";"28";"2";"United Kingdom";"London";"Outer London — West and North West";"-";"United Kingdom";"London";"Outer London — West and North West";"-"
"UKJ1";"1743";"28";"2";"United Kingdom";"South East (England)";"Berkshire, Buckinghamshire and Oxfordshire";"-";"United Kingdom";"South East (England)";"Berkshire, Buckinghamshire and Oxfordshire";"-"
"UKJ2";"1748";"28";"2";"United Kingdom";"South East (England)";"Surrey, East and West Sussex";"-";"United Kingdom";"South East (England)";"Surrey, East and West Sussex";"-"
"UKJ3";"1755";"28";"2";"United Kingdom";"South East (England)";"Hampshire and Isle of Wight";"-";"United Kingdom";"South East (England)";"Hampshire and Isle of Wight";"-"
"UKJ4";"1762";"28";"2";"United Kingdom";"South East (England)";"Kent";"-";"United Kingdom";"South East (England)";"Kent";"-"
"UKK1";"1769";"28";"2";"United Kingdom";"South West (England)";"Gloucestershire, Wiltshire and Bristol/Bath area";"-";"United Kingdom";"South West (England)";"Gloucestershire, Wiltshire and Bristol/Bath area";"-"
"UKK2";"1775";"28";"2";"United Kingdom";"South West (England)";"Dorset and Somerset";"-";"United Kingdom";"South West (England)";"Dorset and Somerset";"-"
"UKK3";"1779";"28";"2";"United Kingdom";"South West (England)";"Cornwall and Isles of Scilly";"-";"United Kingdom";"South West (England)";"Cornwall and Isles of Scilly";"-"
"UKK4";"1781";"28";"2";"United Kingdom";"South West (England)";"Devon";"-";"United Kingdom";"South West (England)";"Devon";"-"
"UKL1";"1786";"28";"2";"United Kingdom";"Wales";"West Wales and The Valleys";"-";"United Kingdom";"Wales";"West Wales and The Valleys";"-"
"UKL2";"1795";"28";"2";"United Kingdom";"Wales";"East Wales";"-";"United Kingdom";"Wales";"East Wales";"-"
"UKM5";"1801";"28";"2";"United Kingdom";"Scotland";"North Eastern Scotland";"-";"United Kingdom";"Scotland";"North Eastern Scotland";"-"
"UKM6";"1803";"28";"2";"United Kingdom";"Scotland";"Highlands and Islands";"-";"United Kingdom";"Scotland";"Highlands and Islands";"-"
"UKM7";"1810";"28";"2";"United Kingdom";"Scotland";"Eastern Scotland";"-";"United Kingdom";"Scotland";"Eastern Scotland";"-"
"UKM8";"1818";"28";"2";"United Kingdom";"Scotland";"West Central Scotland";"-";"United Kingdom";"Scotland";"West Central Scotland";"-"
"UKM9";"1823";"28";"2";"United Kingdom";"Scotland";"Southern Scotland";"-";"United Kingdom";"Scotland";"Southern Scotland";"-"
"UKN0";"1830";"28";"2";"United Kingdom";"Northern Ireland";"Northern Ireland";"-";"United Kingdom";"Northern Ireland";"Northern Ireland";"-"
"UKZZ";"1843";"28";"2";"United Kingdom";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"-";"United Kingdom";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"-"
"IS00";"1847";"29";"2";"Ísland";"Ísland";"Ísland";"-";"Ísland";"Ísland";"Ísland";"-"
"ISZZ";"1851";"29";"2";"Ísland";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"-";"Ísland";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"-"
"LI00";"1855";"30";"2";"Liechtenstein";"Liechtenstein";"Liechtenstein";"-";"Liechtenstein";"Liechtenstein";"Liechtenstein";"-"
"LIZZ";"1858";"30";"2";"Liechtenstein";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"-";"Liechtenstein";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"-"
"NO02";"1862";"31";"2";"Norge";"Norge";"Innlandet";"-";"Norge";"Norge";"Innlandet";"-"
"NO06";"1864";"31";"2";"Norge";"Norge";"Trøndelag";"-";"Norge";"Norge";"Trøndelag";"-"
"NO07";"1866";"31";"2";"Norge";"Norge";"Nord-Norge";"-";"Norge";"Norge";"Nord-Norge";"-"
"NO08";"1869";"31";"2";"Norge";"Norge";"Oslo og Viken";"-";"Norge";"Norge";"Oslo og Viken";"-"
"NO09";"1872";"31";"2";"Norge";"Norge";"Agder og Sør-Østlandet";"-";"Norge";"Norge";"Agder og Sør-Østlandet";"-"
"NO0A";"1875";"31";"2";"Norge";"Norge";"Vestlandet";"-";"Norge";"Norge";"Vestlandet";"-"
"NO0B";"1879";"31";"2";"Norge";"Norge";"Svalbard og Jan Mayen";"-";"Norge";"Norge";"Svalbard og Jan Mayen";"-"
"NOZZ";"1883";"31";"2";"Norge";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"-";"Norge";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"-"
"CH01";"1887";"32";"2";"Schweiz/Suisse/Svizzera";"Schweiz/Suisse/Svizzera";"Région lémanique";"-";"Schweiz/Suisse/Svizzera";"Schweiz/Suisse/Svizzera";"Région lémanique";"-"
"CH02";"1891";"32";"2";"Schweiz/Suisse/Svizzera";"Schweiz/Suisse/Svizzera";"Espace Mittelland";"-";"Schweiz/Suisse/Svizzera";"Schweiz/Suisse/Svizzera";"Espace Mittelland";"-"
"CH03";"1897";"32";"2";"Schweiz/Suisse/Svizzera";"Schweiz/Suisse/Svizzera";"Nordwestschweiz";"-";"Schweiz/Suisse/Svizzera";"Schweiz/Suisse/Svizzera";"Nordwestschweiz";"-"
"CH04";"1901";"32";"2";"Schweiz/Suisse/Svizzera";"Schweiz/Suisse/Svizzera";"Zürich";"-";"Schweiz/Suisse/Svizzera";"Schweiz/Suisse/Svizzera";"Zürich";"-"
"CH05";"1903";"32";"2";"Schweiz/Suisse/Svizzera";"Schweiz/Suisse/Svizzera";"Ostschweiz";"-";"Schweiz/Suisse/Svizzera";"Schweiz/Suisse/Svizzera";"Ostschweiz";"-"
"CH06";"1911";"32";"2";"Schweiz/Suisse/Svizzera";"Schweiz/Suisse/Svizzera";"Zentralschweiz";"-";"Schweiz/Suisse/Svizzera";"Schweiz/Suisse/Svizzera";"Zentralschweiz";"-"
"CH07";"1918";"32";"2";"Schweiz/Suisse/Svizzera";"Schweiz/Suisse/Svizzera";"Ticino";"-";"Schweiz/Suisse/Svizzera";"Schweiz/Suisse/Svizzera";"Ticino";"-"
"CHZZ";"1921";"32";"2";"Schweiz/Suisse/Svizzera";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"-";"Schweiz/Suisse/Svizzera";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"-"
"ME00";"1925";"33";"2";"Црна Гора";"Црна Гора";"Црна Гора";"-";"Crna Gora";"Crna Gora";"Crna Gora";"-"
"MEZZ";"1928";"33";"2";"Црна Гора";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"-";"Crna Gora";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"-"
"MK00";"1932";"34";"2";"Северна Македонија";"Северна Македонија";"Северна Македонија";"-";"Severna Makedonija";"Severna Makedonija";"Severna Makedonija";"-"
"MKZZ";"1942";"34";"2";"Северна Македонија";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"-";"Severna Makedonija";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"-"
"AL01";"1946";"35";"2";"Shqipëria";"Shqipëria";"Veri";"-";"Shqipëria";"Shqipëria";"Veri";"-"
"AL02";"1952";"35";"2";"Shqipëria";"Shqipëria";"Qender";"-";"Shqipëria";"Shqipëria";"Qender";"-"
"AL03";"1955";"35";"2";"Shqipëria";"Shqipëria";"Jug";"-";"Shqipëria";"Shqipëria";"Jug";"-"
"ALZZ";"1962";"35";"2";"Shqipëria";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"-";"Shqipëria";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"-"
"RS11";"1966";"36";"2";"Srbija/Сpбија";"Србија - север";"Београдски регион";"-";"Serbia";"Serbia - sever";"City of Belgrade";"-"
"RS12";"1968";"36";"2";"Srbija/Сpбија";"Србија - север";"Регион Војводине";"-";"Serbia";"Serbia - sever";"Autonomous Province of Vojvodina";"-"
"RS21";"1977";"36";"2";"Srbija/Сpбија";"Србија - југ";"Регион Шумадије и Западне Србије";"-";"Serbia";"Serbia - jug";"Region Šumadije i Zapadne Srbije";"-"
"RS22";"1986";"36";"2";"Srbija/Сpбија";"Србија - југ";"Регион Јужне и Источне Србије";"-";"Serbia";"Serbia - jug";"Region Južne i Istočne Srbije";"-"
"RSZZ";"1997";"36";"2";"Srbija/Сpбија";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"-";"Serbia";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"-"
"TR10";"2001";"37";"2";"Türkiye";"İstanbul";"İstanbul";"-";"Türkiye";"İstanbul";"İstanbul";"-"
"TR21";"2004";"37";"2";"Türkiye";"Batı Marmara";"Tekirdağ, Edirne, Kırklareli";"-";"Türkiye";"Batı Marmara";"Tekirdağ, Edirne, Kırklareli";"-"
"TR22";"2008";"37";"2";"Türkiye";"Batı Marmara";"Balıkesir, Çanakkale";"-";"Türkiye";"Batı Marmara";"Balıkesir, Çanakkale";"-"
"TR31";"2012";"37";"2";"Türkiye";"Ege";"İzmir";"-";"Türkiye";"Ege";"İzmir";"-"
"TR32";"2014";"37";"2";"Türkiye";"Ege";"Aydın, Denizli, Muğla";"-";"Türkiye";"Ege";"Aydın, Denizli, Muğla";"-"
"TR33";"2018";"37";"2";"Türkiye";"Ege";"Manisa, Afyonkarahisar, Kütahya, Uşak";"-";"Türkiye";"Ege";"Manisa, Afyonkarahisar, Kütahya, Uşak";"-"
"TR41";"2024";"37";"2";"Türkiye";"Doğu Marmara";"Bursa, Eskişehir, Bilecik";"-";"Türkiye";"Doğu Marmara";"Bursa, Eskişehir, Bilecik";"-"
"TR42";"2028";"37";"2";"Türkiye";"Doğu Marmara";"Kocaeli, Sakarya, Düzce, Bolu, Yalova";"-";"Türkiye";"Doğu Marmara";"Kocaeli, Sakarya, Düzce, Bolu, Yalova";"-"
"TR51";"2035";"37";"2";"Türkiye";"Batı Anadolu";"Ankara";"-";"Türkiye";"Batı Anadolu";"Ankara";"-"
"TR52";"2037";"37";"2";"Türkiye";"Batı Anadolu";"Konya, Karaman";"-";"Türkiye";"Batı Anadolu";"Konya, Karaman";"-"
"TR61";"2041";"37";"2";"Türkiye";"Akdeniz";"Antalya, Isparta, Burdur";"-";"Türkiye";"Akdeniz";"Antalya, Isparta, Burdur";"-"
"TR62";"2045";"37";"2";"Türkiye";"Akdeniz";"Adana, Mersin";"-";"Türkiye";"Akdeniz";"Adana, Mersin";"-"
"TR63";"2048";"37";"2";"Türkiye";"Akdeniz";"Hatay, Kahramanmaraş, Osmaniye";"-";"Türkiye";"Akdeniz";"Hatay, Kahramanmaraş, Osmaniye";"-"
"TR71";"2053";"37";"2";"Türkiye";"Orta Anadolu";"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir";"-";"Türkiye";"Orta Anadolu";"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir";"-"
"TR72";"2059";"37";"2";"Türkiye";"Orta Anadolu";"Kayseri, Sivas, Yozgat";"-";"Türkiye";"Orta Anadolu";"Kayseri, Sivas, Yozgat";"-"
"TR81";"2064";"37";"2";"Türkiye";"Batı Karadeniz";"Zonguldak, Karabük, Bartın";"-";"Türkiye";"Batı Karadeniz";"Zonguldak, Karabük, Bartın";"-"
"TR82";"2068";"37";"2";"Türkiye";"Batı Karadeniz";"Kastamonu, Çankırı, Sinop";"-";"Türkiye";"Batı Karadeniz";"Kastamonu, Çankırı, Sinop";"-"
"TR83";"2072";"37";"2";"Türkiye";"Batı Karadeniz";"Samsun, Tokat, Çorum, Amasya";"-";"Türkiye";"Batı Karadeniz";"Samsun, Tokat, Çorum, Amasya";"-"
"TR90";"2078";"37";"2";"Türkiye";"Doğu Karadeniz";"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane";"-";"Türkiye";"Doğu Karadeniz";"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane";"-"
"TRA1";"2086";"37";"2";"Türkiye";"Kuzeydoğu Anadolu";"Erzurum, Erzincan, Bayburt";"-";"Türkiye";"Kuzeydoğu Anadolu";"Erzurum, Erzincan, Bayburt";"-"
"TRA2";"2090";"37";"2";"Türkiye";"Kuzeydoğu Anadolu";"Ağrı, Kars, Iğdır, Ardahan";"-";"Türkiye";"Kuzeydoğu Anadolu";"Ağrı, Kars, Iğdır, Ardahan";"-"
"TRB1";"2096";"37";"2";"Türkiye";"Ortadoğu Anadolu";"Malatya, Elazığ, Bingöl, Tunceli";"-";"Türkiye";"Ortadoğu Anadolu";"Malatya, Elazığ, Bingöl, Tunceli";"-"
"TRB2";"2101";"37";"2";"Türkiye";"Ortadoğu Anadolu";"Van, Muş, Bitlis, Hakkari";"-";"Türkiye";"Ortadoğu Anadolu";"Van, Muş, Bitlis, Hakkari";"-"
"TRC1";"2107";"37";"2";"Türkiye";"Güneydoğu Anadolu";"Gaziantep, Adıyaman, Kilis";"-";"Türkiye";"Güneydoğu Anadolu";"Gaziantep, Adıyaman, Kilis";"-"
"TRC2";"2111";"37";"2";"Türkiye";"Güneydoğu Anadolu";"Şanlıurfa, Diyarbakır";"-";"Türkiye";"Güneydoğu Anadolu";"Şanlıurfa, Diyarbakır";"-"
"TRC3";"2114";"37";"2";"Türkiye";"Güneydoğu Anadolu";"Mardin, Batman, Şırnak, Siirt";"-";"Türkiye";"Güneydoğu Anadolu";"Mardin, Batman, Şırnak, Siirt";"-"
"TRZZ";"2120";"37";"2";"Türkiye";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"-";"Türkiye";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"-"
"BE100";"4";"1";"3";"Belgique/België";"Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest";"Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest";"Arr. de Bruxelles-Capitale/Arr. Brussel-Hoofdstad";"Belgique/België";"Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest";"Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest";"Arr. de Bruxelles-Capitale/Arr. Brussel-Hoofdstad"
"BE211";"7";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. Antwerpen";"Arr. Antwerpen";"Belgique/België";"Vlaams Gewest";"Prov. Antwerpen";"Arr. Antwerpen"
"BE212";"8";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. Antwerpen";"Arr. Mechelen";"Belgique/België";"Vlaams Gewest";"Prov. Antwerpen";"Arr. Mechelen"
"BE213";"9";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. Antwerpen";"Arr. Turnhout";"Belgique/België";"Vlaams Gewest";"Prov. Antwerpen";"Arr. Turnhout"
"BE223";"11";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. Limburg (BE)";"Arr. Tongeren";"Belgique/België";"Vlaams Gewest";"Prov. Limburg (BE)";"Arr. Tongeren"
"BE224";"12";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. Limburg (BE)";"Arr. Hasselt";"Belgique/België";"Vlaams Gewest";"Prov. Limburg (BE)";"Arr. Hasselt"
"BE225";"13";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. Limburg (BE)";"Arr. Maaseik";"Belgique/België";"Vlaams Gewest";"Prov. Limburg (BE)";"Arr. Maaseik"
"BE231";"15";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. Oost-Vlaanderen";"Arr. Aalst";"Belgique/België";"Vlaams Gewest";"Prov. Oost-Vlaanderen";"Arr. Aalst"
"BE232";"16";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. Oost-Vlaanderen";"Arr. Dendermonde";"Belgique/België";"Vlaams Gewest";"Prov. Oost-Vlaanderen";"Arr. Dendermonde"
"BE233";"17";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. Oost-Vlaanderen";"Arr. Eeklo";"Belgique/België";"Vlaams Gewest";"Prov. Oost-Vlaanderen";"Arr. Eeklo"
"BE234";"18";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. Oost-Vlaanderen";"Arr. Gent";"Belgique/België";"Vlaams Gewest";"Prov. Oost-Vlaanderen";"Arr. Gent"
"BE235";"19";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. Oost-Vlaanderen";"Arr. Oudenaarde";"Belgique/België";"Vlaams Gewest";"Prov. Oost-Vlaanderen";"Arr. Oudenaarde"
"BE236";"20";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. Oost-Vlaanderen";"Arr. Sint-Niklaas";"Belgique/België";"Vlaams Gewest";"Prov. Oost-Vlaanderen";"Arr. Sint-Niklaas"
"BE241";"22";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. Vlaams-Brabant";"Arr. Halle-Vilvoorde";"Belgique/België";"Vlaams Gewest";"Prov. Vlaams-Brabant";"Arr. Halle-Vilvoorde"
"BE242";"23";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. Vlaams-Brabant";"Arr. Leuven";"Belgique/België";"Vlaams Gewest";"Prov. Vlaams-Brabant";"Arr. Leuven"
"BE251";"25";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. West-Vlaanderen";"Arr. Brugge";"Belgique/België";"Vlaams Gewest";"Prov. West-Vlaanderen";"Arr. Brugge"
"BE252";"26";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. West-Vlaanderen";"Arr. Diksmuide";"Belgique/België";"Vlaams Gewest";"Prov. West-Vlaanderen";"Arr. Diksmuide"
"BE253";"27";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. West-Vlaanderen";"Arr. Ieper";"Belgique/België";"Vlaams Gewest";"Prov. West-Vlaanderen";"Arr. Ieper"
"BE254";"28";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. West-Vlaanderen";"Arr. Kortrijk";"Belgique/België";"Vlaams Gewest";"Prov. West-Vlaanderen";"Arr. Kortrijk"
"BE255";"29";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. West-Vlaanderen";"Arr. Oostende";"Belgique/België";"Vlaams Gewest";"Prov. West-Vlaanderen";"Arr. Oostende"
"BE256";"30";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. West-Vlaanderen";"Arr. Roeselare";"Belgique/België";"Vlaams Gewest";"Prov. West-Vlaanderen";"Arr. Roeselare"
"BE257";"31";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. West-Vlaanderen";"Arr. Tielt";"Belgique/België";"Vlaams Gewest";"Prov. West-Vlaanderen";"Arr. Tielt"
"BE258";"32";"1";"3";"Belgique/België";"Vlaams Gewest";"Prov. West-Vlaanderen";"Arr. Veurne";"Belgique/België";"Vlaams Gewest";"Prov. West-Vlaanderen";"Arr. Veurne"
"BE310";"35";"1";"3";"Belgique/België";"Région wallonne";"Prov. Brabant Wallon";"Arr. Nivelles";"Belgique/België";"Région wallonne";"Prov. Brabant Wallon";"Arr. Nivelles"
"BE323";"37";"1";"3";"Belgique/België";"Région wallonne";"Prov. Hainaut";"Arr. Mons";"Belgique/België";"Région wallonne";"Prov. Hainaut";"Arr. Mons"
"BE328";"38";"1";"3";"Belgique/België";"Région wallonne";"Prov. Hainaut";"Arr. Tournai-Mouscron";"Belgique/België";"Région wallonne";"Prov. Hainaut";"Arr. Tournai-Mouscron"
"BE329";"39";"1";"3";"Belgique/België";"Région wallonne";"Prov. Hainaut";"Arr. La Louvière";"Belgique/België";"Région wallonne";"Prov. Hainaut";"Arr. La Louvière"
"BE32A";"40";"1";"3";"Belgique/België";"Région wallonne";"Prov. Hainaut";"Arr. Ath";"Belgique/België";"Région wallonne";"Prov. Hainaut";"Arr. Ath"
"BE32B";"41";"1";"3";"Belgique/België";"Région wallonne";"Prov. Hainaut";"Arr. Charleroi";"Belgique/België";"Région wallonne";"Prov. Hainaut";"Arr. Charleroi"
"BE32C";"42";"1";"3";"Belgique/België";"Région wallonne";"Prov. Hainaut";"Arr. Soignies";"Belgique/België";"Région wallonne";"Prov. Hainaut";"Arr. Soignies"
"BE32D";"43";"1";"3";"Belgique/België";"Région wallonne";"Prov. Hainaut";"Arr. Thuin";"Belgique/België";"Région wallonne";"Prov. Hainaut";"Arr. Thuin"
"BE331";"45";"1";"3";"Belgique/België";"Région wallonne";"Prov. Liège";"Arr. Huy";"Belgique/België";"Région wallonne";"Prov. Liège";"Arr. Huy"
"BE332";"46";"1";"3";"Belgique/België";"Région wallonne";"Prov. Liège";"Arr. Liège";"Belgique/België";"Région wallonne";"Prov. Liège";"Arr. Liège"
"BE334";"47";"1";"3";"Belgique/België";"Région wallonne";"Prov. Liège";"Arr. Waremme";"Belgique/België";"Région wallonne";"Prov. Liège";"Arr. Waremme"
"BE335";"48";"1";"3";"Belgique/België";"Région wallonne";"Prov. Liège";"Arr. Verviers — communes francophones";"Belgique/België";"Région wallonne";"Prov. Liège";"Arr. Verviers — communes francophones"
"BE336";"49";"1";"3";"Belgique/België";"Région wallonne";"Prov. Liège";"Bezirk Verviers — Deutschsprachige Gemeinschaft";"Belgique/België";"Région wallonne";"Prov. Liège";"Bezirk Verviers — Deutschsprachige Gemeinschaft"
"BE341";"51";"1";"3";"Belgique/België";"Région wallonne";"Prov. Luxembourg (BE)";"Arr. Arlon";"Belgique/België";"Région wallonne";"Prov. Luxembourg (BE)";"Arr. Arlon"
"BE342";"52";"1";"3";"Belgique/België";"Région wallonne";"Prov. Luxembourg (BE)";"Arr. Bastogne";"Belgique/België";"Région wallonne";"Prov. Luxembourg (BE)";"Arr. Bastogne"
"BE343";"53";"1";"3";"Belgique/België";"Région wallonne";"Prov. Luxembourg (BE)";"Arr. Marche-en-Famenne";"Belgique/België";"Région wallonne";"Prov. Luxembourg (BE)";"Arr. Marche-en-Famenne"
"BE344";"54";"1";"3";"Belgique/België";"Région wallonne";"Prov. Luxembourg (BE)";"Arr. Neufchâteau";"Belgique/België";"Région wallonne";"Prov. Luxembourg (BE)";"Arr. Neufchâteau"
"BE345";"55";"1";"3";"Belgique/België";"Région wallonne";"Prov. Luxembourg (BE)";"Arr. Virton";"Belgique/België";"Région wallonne";"Prov. Luxembourg (BE)";"Arr. Virton"
"BE351";"57";"1";"3";"Belgique/België";"Région wallonne";"Prov. Namur";"Arr. Dinant";"Belgique/België";"Région wallonne";"Prov. Namur";"Arr. Dinant"
"BE352";"58";"1";"3";"Belgique/België";"Région wallonne";"Prov. Namur";"Arr. Namur";"Belgique/België";"Région wallonne";"Prov. Namur";"Arr. Namur"
"BE353";"59";"1";"3";"Belgique/België";"Région wallonne";"Prov. Namur";"Arr. Philippeville";"Belgique/België";"Région wallonne";"Prov. Namur";"Arr. Philippeville"
"BEZZZ";"62";"1";"3";"Belgique/België";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"Extra-Regio NUTS 3";"Belgique/België";"Extra-Regio NUTS 1";"Extra-Regio NUTS 2";"Extra-Regio NUTS 3"
"BG311";"66";"2";"3";"България";"Северна и Югоизточна България";"Северозападен";"Видин";"Bulgaria";"Severna i Yugoiztochna Bulgaria";"Severozapaden";"Vidin"
"BG312";"67";"2";"3";"България";"Северна и Югоизточна България";"Северозападен";"Монтана";"Bulgaria";"Severna i Yugoiztochna Bulgaria";"Severozapaden";"Montana"
"BG313";"68";"2";"3";"България";"Северна и Югоизточна България";"Северозападен";"Враца";"Bulgaria";"Severna i Yugoiztochna Bulgaria";"Severozapaden";"Vratsa"
"BG314";"69";"2";"3";"България";"Северна и Югоизточна България";"Северозападен";"Плевен";"Bulgaria";"Severna i Yugoiztochna Bulgaria";"Severozapaden";"Pleven"
"BG315";"70";"2";"3";"България";"Северна и Югоизточна България";"Северозападен";"Ловеч";"Bulgaria";"Severna i Yugoiztochna Bulgaria";"Severozapaden";"Lovech"
"BG321";"72";"2";"3";"България";"Северна и Югоизточна България";"Северен централен";"Велико Търново";"Bulgaria";"Severna i Yugoiztochna Bulgaria";"Severen tsentralen";"Veliko Tarnovo"
"BG322";"73";"2";"3";"България";"Северна и Югоизточна България";"Северен централен";"Габрово";"Bulgaria";"Severna i Yugoiztochna Bulgaria";"Severen tsentralen";"Gabrovo"
"BG323";"74";"2";"3";"България";"Северна и Югоизточна България";"Северен централен";"Русе";"Bulgaria";"Severna i Yugoiztochna Bulgaria";"Severen tsentralen";"Ruse"
"BG324";"75";"2";"3";"България";"Северна и Югоизточна България";"Северен централен";"Разград";"Bulgaria";"Severna i Yugoiztochna Bulgaria";"Severen tsentralen";"Razgrad"
"BG325";"76";"2";"3";"България";"Северна и Югоизточна България";"Северен централен";"Силистра";"Bulgaria";"Severna i Yugoiztochna Bulgaria";"Severen tsentralen";"Silistra"
"BG331";"78";"2";"3";"България";"Северна и Югоизточна България";"Североизточен";"Варна";"Bulgaria";"Severna i Yugoiztochna Bulgaria";"Severoiztochen";"Varna"
"BG332";"79";"2";"3";"България";"Северна и Югоизточна България";"Североизточен";"Добрич";"Bulgaria";"Severna i Yugoiztochna Bulgaria";"Severoiztochen";"Dobrich"
"BG333";"80";"2";"3";"България";"Северна и Югоизточна България";"Североизточен";"Шумен";"Bulgaria";"Severna i Yugoiztochna Bulgaria";"Severoiztochen";"Shumen"
"BG334";"81";"2";"3";"България";"Северна и Югоизточна България";"Североизточен";"Търговище";"Bulgaria";"Severna i Yugoiztochna Bulgaria";"Severoiztochen";"Targovishte"
"BG341";"83";"2";"3";"България";"Северна и Югоизточна България";"Югоизточен";"Бургас";"Bulgaria";"Severna i Yugoiztochna Bulgaria";"Yugoiztochen";"Burgas"
"BG342";"84";"2";"3";"България";"Северна и Югоизточна България";"Югоизточен";"Сливен";"Bulgaria";"Severna i Yugoiztochna Bulgaria";"Yugoiztochen";"Sliven"
"BG343";"85";"2";"3";"България";"Северна и Югоизточна България";"Югоизточен";"Ямбол";"Bulgaria";"Severna i Yugoiztochna Bulgaria";"Yugoiztochen";"Yambol"
"BG344";"86";"2";"3";"България";"Северна и Югоизточна България";"Югоизточен";"Стара Загора";"Bulgaria";"Severna i Yugoiztochna Bulgaria";"Yugoiztochen";"Stara Zagora"
"BG411";"89";"2";"3";"България";"Югозападна и Южна централна България";"Югозападен";"София (столица)";"Bulgaria";"Yugozapadna i Yuzhna tsentralna Bulgaria";"Yugozapaden";"Sofia (stolitsa)"
