iae_code;iae_name
"1.654.2";"Venta al por menor de accesorios, piezas de recambio de vehículos terrestres"
"1.654.3";"Venta al por menor de vehículos aéreos"
"1.654.4";"Venta al por menor de vehículos fluviales y marítimos a vela o motor"
"1.654.5";"Venta al por menor de toda clase de maquinaría"
"1.654.6";"Venta al por menor de cubiertas, bandas y cámaras de aire"
"1.655.1";"Venta al por menor de combustibles de todas clases, excepto gases"
"1.655.2";"Venta al por menor de gases combustibles de todas clases"
"1.655.3";"Venta al por menor de carburantes para el surtido de vehículos"
"1.659.1";"Venta al por menor de sellos, monedas y obras de arte"
"1.659.2";"Venta al por menor de muebles de oficina y máquinas y equipos de oficina"
"1.659.3";"Venta al por menor de aparatos médicos, ortopédicos, ópticos y fotográficos"
"1.659.4";"Venta al por menor de libros, periódicos y artículos de papelería y escritorio"
"1.659.5";"Venta al por menor de artículos de joyería, relojería, platería y bisutería"
"1.659.6";"Venta al por menor de jueguetes, artículos de deporte"
"2.773";"Detectives privados y profesionales de vigilancia"
"2.774";"Traductores e intérpretes"
"1.974";"Agencias de prestación de servicios domésticos"
"1.983";"Agencias de colocación de artistas"
"1.991";"Prestación de servicios por sociedades de desarrollo industrial"
"1.999";"Otros servicios n.c.o.p"
"2.011";"Doctores y licenciados en ciencias biológicas"
"2.012";"Ingenieros agrónomos y de montes"
"2.013";"Veterinarios"
"2.021";"Técnicos en biología, agronomía y silvicultura"
"2.022";"Ingenieros técnicos agrícolas e ingenieros técnicos forestales"
"2.023";"Ingenieros técnicos topógrafos"
"2.024";"Auxiliares y ayudantes en veterianaria (sexadores de pollos, castradores,...)"
"2.099";"Otros profesionales relacionados con la agricultura y la ganadería"
"2.111";"Doctores y licenciados en ciencias físicas, geofísicas, geológicas"
"2.112";"Ingenieros de minas"
"2.121";"Doctores y licenciados en ciencias químicas"
"2.131";"Ingenieros técnicos de minas, facultativos y peritos"
"2.199";"Otros profesionales relacionados con las actividades propias de energía"
"2.211";"Ingenieros aeronáuticos"
"2.212";"Ingenieros navales"
"2.213";"Ingenieros de telecomunicación"
"2.214";"Ingenieros de armamento y construcción, de armas navales y electromecánicos"
"2.221";"Ingenieros técnicos aeronáuticos, ayudantes y peritos"
"2.222";"Ingenieros técnicos de telecomunicación, ayudantes y peritos"
"2.223";"Ayudantes de ingenieros de armamento y construcción de armas navales"
"2.224";"Dibujantes técnicos"
"2.225";"Técnicos en telecomunicación"
"2.226";"Técnicos en sonido"
"2.227";"Técnicos en iluminación"
"2.228";"Ingenieros técnicos navales, ayudantes y peritos"
"2.299";"Otros profesionales relacionados con la industria de la aeronáutica"
"2.311";"Ingenieros industriales y textiles"
"2.321";"Ingenieros técnicos industriales y textiles, ayudantes"
"2.322";"Técnicos en artes gráficas"
"2.399";"Otros profesionales relacionados con otras industrias manufactureras"
"2.411";"Arquitectos"
"2.412";"Ingenieros de caminos, canales y puertos"
"2.421";"Arquitectos técnicos y aparejadores"
"2.422";"Ingenieros técnicos de obras públicas, ayudantes y peritos"
"2.431";"Delineantes"
"2.432";"Decoradores-diseñadores de interiores"
"2.499";"Otros profesionales relacionados con la construcción n.c.o.p"
"2.511";"Agentes comerciales"
"2.521";"Técnicos en hostelería"
"2.599";"Otros profesionales relacionados con el comercio y hostelería"
"2.611";"Agentes de ferrocarriles"
"2.612";"Conductores de vehículos terrestres"
"2.699";"Otros profesionales relacionados con el transporte y comunicaciones"
"2.711";"Actuarios de seguros"
"2.712";"Agentes representantes y corredores de seguros"
"2.713";"Agentes de seguros afectos no representantes"
"2.721";"Agentes colegiados de la propiedad inmobiliaria e industrial"
"2.722";"Gestores administrativos"
"2.723";"Administradores de fincas"
"2.724";"Intermediarios en la promoción de edificaciones"
"2.725";"Habilitados de clases pasivas"
"2.726";"Graduados sociales"
"2.727";"Agentes o intermediarios en facilitar préstamos"
"2.728";"Agentes de aduanas"
"2.731";"Abogados"
"2.732";"Procuradores"
"2.733";"Notarios"
"2.734";"Registradores"
"2.741";"Economistas"
"2.742";"Intendentes y profesores mercantiles"
"2.743";"Peritos mercantiles"
"2.744";"Diplomados en ciencias empresariales"
"2.745";"Corredores de comercio colegiados"
"2.746";"Corredores de comercio libres"
"2.747";"Auditores de cuentas y censores jurados de cuentas"
"2.748";"Administradores de la cartera de valores"
"2.749";"Corredores intérpretes y corredores marítimos"
"2.751";"Profesionales de la publicidad, relaciones públicas y similares"
"2.761";"Doctores y licenciados ciencias exactas y estadísticas"
"2.762";"Doctores y licenciados en informática"
"2.763";"Programadores y analistas de informática"
"2.764";"Diplomados en informáticas"
"2.765";"Grabadores informáticos"
"2.771";"Agentes cobradores de facturas, efectos comerciale, de préstamos"
"2.772";"Estenotipistas, mecanógrafos, taquígrafos y otros profesionales administrativos"
"1.432.3";"Tejidos de la lana y sus mezclas"
"1.433.1";"Productos de la industria de la seda natural y sus mezclas"
"1.433.2";"Preparación de hilado y tejido de las fibras artificiales y sintéticas"
"1.434.1";"Fibras duras y preparadas para el hilado"
"1.434.2";"Subproductos y productos residuales de la preparación de fibra"
"1.434.3";"Hilados y retorcidos de fibras duras y sus mezclas"
"1.434.4";"Tejidos de fibras duras y sus mezclas"
"1.435.1";"Fabricación de géneros de punto en pieza"
"1.435.2";"Fabricación de calcetería"
