iae_code;iae_name
"1.712";"Transporte ferroviario por vía estrecha"
"1.722";"Transporte de mercancías por carretera"
"1.729";"Otros transportes terrestres n.c.o.p"
"1.732";"Transporte marítimo de crudos y gases"
"1.755";"Agencias de viajes"
"1.756";"Intermediarios del transporte"
"1.757";"Servicio de mudanzas"
"1.761";"Servicios telefónicos"
"1.769";"Otros servicios de telecomunicaciones"
"1.798";"Otros profesionales relacionados con actividades financieras y jurídicas"
"1.811";"Banca"
"1.812";"Cajas de ahorro"
"1.821";"Entidades aseguradoras de vida y capitalización"
"1.822";"Entidades aseguradoras de enfermedad y riesgos diversos"
"1.823";"Otras entidades aseguradoras (montepíos, cajas de pensiones)"
"1.834";"Servicios relativos a la propiedad inmobiliaria e industrial"
"1.841";"Servicios jurídicos"
"1.842";"Servicios financieros y contables"
"1.844";"Servicios de publicidad, relaciones públicas y similares"
"1.845";"Explotación electrónica por cuenta de terceros"
"1.846";"Empresas de estudios de mercado"
"1.847";"Servicios de consultoría"
"1.851";"Alquiler de maquinaria y equipo agrícola"
"1.852";"Alquiler de maquinaria y equipo para la construcción"
"1.853";"Alquiler de maquinaria y equipo contable de oficina y cálculo"
"1.854";"Alquiler de automóviles sin conductor"
"1.859";"Alquiler de otros bienes muebles n.c.o.p. (sin personal permanente)"
"1.862";"Alquiler de bienes inmuebles de naturaleza rústica"
"1.911";"Servicios agrícolas y ganaderos"
"1.912";"Servicios forestales"
"1.913";"Servicios relacionados con la pesca y la acuicultura"
"1.922";"Servicios de limpieza"
"1.934";"Enseñanza fuera de establecimiento permanente"
"1.936";"Investigación científica y técnica"
"1.943";"Consultas y clínicas de estomatología y odontología"
"1.944";"Servicios de naturopatía, acupuntura y otros servicios parasanitarios"
"1.945";"Consultas y clínicas veterinarias"
"1.951";"Asistencia y servicios sociales en centros residenciales"
"1.012";"Explotación intensiva de ganado bovino de leche"
"1.013";"Explotación intensiva de ganado bovino de cebo"
"1.021";"Explotación extensiva de ganado ovino"
"1.022";"Explotación intensiva de ganado ovino de cría"
"1.023";"Explotación intensiva de ganado ovino de cebo"
"1.031";"Explotación extensiva de ganado porcino"
"1.033";"Explotación intensiva de ganado porcino de cebo"
"1.042.1";"Reproductoras de carne"
"1.042.2";"Pollos y patos para carne"
"1.042.4";"Pavos, faisanes y palmípedas para carne"
"1.042.5";"Codornices para carne"
"1.051";"Cunicultura"
"1.062";"Apicultura"
"1.069";"Otras explotaciones ganaderas"
"1.111.2";"Extracción, preparación de hulla subbituminosa (lignito negro)"
"1.111.4";"Aglomeración de hulla"
"1.112.1";"Extracción y preparación de antracita"
"1.113.1";"Extracción y preparación de lignito pardo"
"1.113.2";"Preparación de lignito pardo en factoría independiente"
"1.222.3";"Productos laminados en caliente (siderurgia no integral)"
"1.222.4";"Productos laminados en frío (siderurgia no integral)"
"1.222.5";"Productos derivados de la siderurgia no integral"
"1.222.6";"Otros productos y subproductos (siderurgia no integral)"
"1.223";"Fabricación de tubos de acero"
"1.223.1";"Fabricación de productos tubulares de acero sin soldadura"
"1.223.3";"Fabricación de productos tubulares de acero soldados helicoidalmente"
"1.224";"Trefilado, estirado, perfilado, laminado en frío del acero"
"1.224.1";"Alambre de acero"
"1.224.3";"Productos calibrados por descortezado (torneado)"
"1.224.5";"Periles conformados en frío"
"1.224.7";"Fleje magnético laminado en frío"
"1.114";"Fabricación de coque"
"1.121.2";"Trabajos para desviación sondeos y cimentación de pozos"
"1.121.9";"Otras actividades relacionadas con la prospección de petróleo"
"1.122.1";"Extracción de crudos de petróleo"
"1.123.1";"Extracción y depuración de gas natural"
"1.124";"Extracción de pizarras bituminosas"
"1.143.1";"Transformación de minerales radiactivos"
"1.143.2";"Tratamiento de residuos radiactivos"
"1.143.3";"Almacenamiento de residuos radioactivos"
"1.151.1";"Producción de energía hidroeléctrica"
"1.151.2";"Producción de energía termoeléctrica convencional"
"1.151.3";"Producción de energía electronuclear"
"1.151.4";"Producción de energía no especificada en otros epígrafes"
"1.152";"Fabricación y distribución de gas"
"1.130";"Refino de petróleo"
"1.161.1";"Captación, tratamiento y distribución agua, núcleos urbanos"
"1.161.2";"Captación de agua para su suministro"
"1.161.4";"Distribución de agua para núcleos urbanos"
"1.211.1";"Extracción y preparación de minerales férreos"
"1.212.1";"Extracción y preparación de minerales metálicos no férreos"
"1.221";"Siderurgia integral"
"1.221.1";"Productos siderúrgicos primarios o de cabecera"
"1.221.3";"Semiproductos (siderurgia integral)"
"1.221.4";"Productos laminados en caliente (siderurgia integral)"
"1.221.7";"Otros productos y subproductos (siderurgia integral)"
"1.222";"Siderurgia no integral"
"1.225.1";"Producción y primera transformación del aluminio"
"1.225.9";"Producción y primera transformación de otros metales no férreos n.c.o.p"
"1.231.1";"Extracción de sustancias arcillosas"
"1.231.2";"Extracción de rocas y pizarras para la construcción"
"1.231.3";"Extracción de arenas y gravas para la construcción"
"1.231.4";"Extracción de yeso"
"1.231.9";"Extracción de otros materiales de construcción n.c.o.p"
"1.232.1";"Extracción de sales potásicas"
"1.233.1";"Extracción de sal marina"
"1.233.2";"Extracción de sal manantial y sal gema"
"1.024";"Explotación de ganado caprino"
"1.032";"Explotación intensiva de ganado porcino de cría"
"1.041.1";"Reproductoras de puesta"
"1.041.2";"Ponedoras de huevos a partir de los cuatro meses de edad"
"1.042.3";"Pavos, faisanes y palmípedas reproductoras"
"1.061";"Explotaciones de ganado caballar, mular y asnal"
"1.071";"Explotaciones mixtas"
"1.111.1";"Extracción, preparación de hulla, excepto hulla subbituminosa"
"1.111.3";"Preparación de hulla en factoría independiente"
"1.112.2";"Preparación de antracita en factoría independiente"
"2.775";"Doctores y licenciados en filosofía y letras"
"2.776";"Doctores y licenciados en ciencias políticas y sociales"
"2.777";"Especialistas en asuntos de personal y análisis profesional"
"2.778";"Diplomados en biblioteconomía y documentación"
"2.798";"Otros profesionales relacionados con actividades financieras y jurídicas"
"2.799";"Otros profesionales relacionados con actividades de seguros y de alquileres"
"2.811";"Profesionales que prestan servicios de limpieza"
"2.821";"Personal docente de enseñanza superior"
"2.822";"Personal docente de enseñanza media"
"2.823";"Personal docente de enseñanza general básica y preescolar"
"2.824";"Profesores de formación y perfeccionamiento profesional"
"2.825";"Profesores de conducción de vehículos terrestres, acuáticos"
"2.826";"Personal docente de enseñanzas diversas"
"2.831";"Médicos de medicina general"
"2.832";"Médicos especialistas (excluidos estomatólogos y odontólogos)"
"2.833";"Estomatólogos"
"2.834";"Odontólogos"
"2.835";"Farmacéuticos"
"2.836";"Ayudantes técnicos sanitarios y fisioterapeutas"
"2.837";"Protésicos e higienistas dentales"
"2.838";"Ópticos-optometristas y podólogos"
"2.839";"Masajistas, bromatólogos, dietistas y auxiliares de enfermería"
"2.841";"Naturópatas, acupuntores y otros profesionales parasanitarios"
"2.851";"Representantes técnicos del espectáculo"
"2.852";"Apoderados y representantes taurinos"
"2.853";"Agentes de colocación de artistas"
"2.854";"Expertos en organización de congresos, asambleas y similares"
"2.855";"Agentes y corredores de apuestas en los espectáculos"
"2.861";"Pintores, escultores, ceramistas, artesanos, artistas y similares"
"2.862";"Restauradores de obras de arte"
"2.871";"Expendedores de loterías, apuestas deportivas y otros juegos"
"2.872";"Expendedores oficiales de loterias de otros organismos"
"2.873";"Expendedores no oficiales autorizados, recepción apuestas"
"2.881";"Astrólogos y similares"
"2.882";"Guías de turismo"
"2.883";"Guías intérpretes de turismo"
"2.884";"Peritos tasadores de seguros, alhajas, géneros y efectos"
"2.885";"Liquidadores y comisarios de averías"
"2.886";"Cronometradores"
"2.887";"Maquilladores y esteticistas"
"2.888";"Grafólogos"
"2.899";"Otros profesionales"
"3.011";"Directores de cine y teatro"
"3.012";"Ayudantes de dirección"
"3.013";"Actores de cine y teatro"
"3.014";"Extras especializados, dobles, comparsas y meritorios"
"3.015";"Operadores de cámaras de cine de televisión y de vídeo"
"3.016";"Humoristas, caricatos, excentr., charlistas, recitadores"
"3.017";"Apuntadores y regidores"
"3.018";"Artistas de circo"
"3.019";"Otras actividades relacionadas con el cine, el teatro y el circo"
"3.021";"Directores coreográficos"
"3.022";"Bailarines"
"3.029";"Otras actividades relacionadas con el baile n.c.o.p"
"3.031";"Maestros y directores de música"
"3.032";"Intérpretes de instrumentos musicales"
"3.033";"Cantantes"
"3.039";"Otras actividades relacionadas con la música n.c.o.p"
"3.041";"Jugadores y entrenadores de fútbol"
"3.042";"Jugadores, entrenadores y preparadores de tenis y de golf"
"3.043";"Pilotos, entrenadores y preparadores de motociclismo y automovilismo"
"3.044";"Boxeadores, entrenadores y preparadores de boxeo"
"3.045";"Jugadores, entrenadores y preparadores de baloncesto"
"3.046";"Corredores, entrenadores y preparadores de ciclismo"
"3.047";"Jugadores, entrenadores de balonmano, voleibol, pelota"
"3.048";"Árbitros de espectáculos deportivos"
"3.049";"Otras actividades relacionadas con el deporte n.c.o.p"
"3.051";"Matadores de toros"
"3.052";"Rejoneadores"
"3.053";"Subalternos"
"3.054";"Jefes de cuadrillas cómicas y similares"
"3.055";"Otro personal de cuadrillas cómicas y similares"
"3.059";"Otras actividades relacionadas con espectáculos taurinos"
"1.234.1";"Extracción de piritas de hierro sin tostar"
"1.234.2";"Extracción de azufre natural"
"1.239.1";"Extracción de fluorita"
"1.239.2";"Extracción de turba"
"1.239.9";"Extracción de otros minerales no metálicos ni energéticos"
"1.241.1";"Ladrillos, bloques y piezas especiales para forjados"
"1.241.2";"Tejas, baldosas y materiales de tierras cocidas para la construcción"
"1.241.6";"Fabricación de fritas y esmaltes cerámicos"
"1.242.1";"Fabricación de cementos artificiales"
"1.242.2";"Fabricación de cementos naturales"
"1.242.3";"Fabricación de cales y yesos"
"1.243.1";"Fabricación de hormigones preparados"
"1.243.2";"Fabricación de productos en fibrocemento"
"1.243.3";"Fabricación otros artículos derivados del cemento, excepto pavimentos"
"1.243.4";"Fabricación de pavimentos derivados del cemento"
"1.243.5";"Fabricación de artículos derivados del yeso y escayola"
"1.244.1";"Industrias de la piedra natural triturada y clasificada"
"1.244.2";"Industrias de la piedra natural simplemente talada y aserrada"
"1.244.3";"Industrias de la piedra elaborada"
"1.245.1";"Fabricación de artículos para máquinas y piedras para afilar a mano"
"1.245.2";"Fabricación de otros abrasivos"
"1.246.1";"Fabricación de vidrio plano"
"1.246.2";"Fabricación de vidrio hueco"
"1.246.3";"Fabricación de vidrio técnico"
"1.246.4";"Fabricación de fibra de vidrio"
"1.246.5";"Manipulado de vidrio"
"1.246.6";"Fabricación de fritas y esmaltes cerámicos"
"1.247.1";"Fabricación de artículos refractarios"
"1.247.2";"Fabricación de baldosas para pavimentación"
"1.247.3";"Fabricación de baldosas esmaltadas para pavimentación"
"1.247.4";"Fabricación de vajillas y artículos del hogar de material cerámico"
"1.247.5";"Fabricación de aparatos sanitarios de loza, porcelana y gres"
"1.247.6";"Fabricación de aisladores de material cerámico para instalaciones eléctricas"
"1.247.9";"Fabricación de otros artículos cerámicos n.c.o.p"
"1.249.1";"Industrias de productos asfálticos"
"1.249.2";"Industrias de productos a base de amianto"
"1.249.9";"Industrias de productos a base de otros minerales no metálicos"
"1.251.1";"Fabricación de productos químicos orgánicos de origen petroquímico"
"1.251.2";"Fabricación de otros productos químicos orgánicos"
"1.251.3";"Fabricación de productos químicos inorgánicos"
"1.251.4";"Fabricación de primeras materias plásticas"
"1.251.5";"Fabricación de cauchos y látex sintéticos"
"1.251.6";"Producción de fibras artificiales y sintéticas"
"1.251.7";"Fabricación de acido y anhídrido maléico"
"1.252.1";"Fabricación de abonos"
"1.252.2";"Fabricación de plaguicidas"
"1.253.1";"Fabricación de gases comprimidos"
"1.253.2";"Fabricación de colorantes y pigmentos"
"1.253.3";"Fabricación de pinturas, barnices y lacas"
"1.253.4";"Fabricación de tintes de imprenta"
"1.253.5";"Tratamiento de aceites y grasa para usos industriales"
"1.253.6";"Fabricación de aceites esenciales y de sustancias aromáticas"
"1.253.7";"Fabricación de colas y gelatinas para la industria textil, del cuero y caucho"
"1.253.8";"Fabricación de explosivos"
"1.253.9";"Fabricación de otros productos químicos de uso industrial n.c.o.p"
"1.254.1";"Fabricación de productos farmacéuticos de base"
"1.254.2";"Fabricación de especialidades y otros productos farmacéuticos"
"1.255.1";"Fabricación de jabones comunes, detergentes y lejías"
"1.255.2";"Fabricación de jabones de tocador y otros productos de perfumería"
"1.255.3";"Fabricación de derivados de cera y parafinas"
"1.255.4";"Fabricación de material fotográfico sensible"
"1.255.5";"Fabricación de artículos pirotécnicos, cerillas y fósforos"
"1.255.9";"Fabricación de otros productos químicos de uso final"
"1.311.1";"Fundición de piezas de hierro y acero"
"1.311.2";"Fundición de piezas de metales no férreos y sus aleaciones"
"1.312.1";"Piezas forjadas"
"1.312.2";"Piezas estampadas o troqueladas"
"1.312.3";"Piezas embutidas, cortadas o repulsadas"
"1.313.1";"Tratamiento de los metales"
"1.313.2";"Recubrimientos metálicos"
"1.313.3";"Tratamientos de protección de los metales n.c.o.p"
"1.314.1";"Carpintería metálica"
"1.314.2";"Fabricación de estructuras metálicas"
"1.315.1";"Construcción de grandes calderas"
"1.315.2";"Grandes depósitos metálicos y otros productos de calderería"
"1.316.1";"Fabricación de herramientas manuales"
"1.316.2";"Fabricación de artículos de ferretería y cerrajería"
"1.316.3";"Tornillería y fabricación de artículos derivados del alambre"
"1.316.4";"Fabricación de artículos de menaje"
"1.316.5";"Fabricación de cocinas, calentadores no eléctricos"
"1.316.6";"Fabricación de mobiliario metálico"
"1.316.7";"Fabricación de recipientes y envases metálicos"
"1.316.8";"Fabricación de armas ligeras y sus municiones"
"1.316.9";"Fabricación de otros artículos acabados en metales n.c.o.p"
"1.319.1";"Mecánica general"
"1.319.9";"Talleres mecánicos n.c.o.p"
"1.321.1";"Construcción de máquinas agrícolas"
"1.321.2";"Construcción de tractores agrícolas"
"1.322.1";"Construcción de máquinas para trabajar los metales"
"1.322.2";"Construcción de máquinas para trabajar la madera y corcho"
"1.322.3";"Fabricación de útiles, equipos y piezas para máquinas-herramientas"
"1.323.1";"Construcción de máquinas textiles y sus accesorios"
"1.323.2";"Construcción de máquinas para la industria del cuero y calzado"
"1.323.3";"Fabricación de máquinas de coser"
"1.324.1";"Construcción de máquinas industriales alimenticias, bebidas y tabaco"
"1.324.2";"Construcción de máquinas para la industria química"
"1.324.3";"Construcción de máquinas para industrias de transform. caucho y mat. plásticas"
"1.325.1";"Construcción de máquinas y equipo para minería, construcción y obras públicas"
"1.325.2";"Construcción de máquinas y equipos para industrias prod. minerales no metálicos"
"1.325.3";"Construcción de máquinas para la siderurgia y fundición"
"1.325.4";"Construcción de maquinaria de elevación y manipulación"
"1.326.1";"Fabricación de engranajes, cadena transmisión y otros órganos de transmisión"
"1.326.2";"Fabricación de rodamientos"
"1.329.1";"Construcción de máquinas industria del papel, cartón y artes gráficas"
"1.329.2";"Construcción de máquinas lavado y limpieza en seco"
"1.329.3";"Construcción de motores y turbinas (excepto transporte)"
"1.329.4";"Construcción de maquinaria para la manipulación de fluidos"
"1.329.9";"Construcción de otras máquinas y equipos mecánicos n.c.o.p"
"1.330.1";"Construcción de máquinas de oficina y ordenadores"
"1.330.2";"Instalación de máquinas de oficina y ordenadores"
"1.341.1";"Fabricación de hilos y cables para comunicaciones"
"1.341.2";"Fabricación de hilos y cables aislados para el transporte de electricidad"
"1.341.3";"Fabricación de hilos y cables aislados para bobinas"
"1.341.4";"Fabricación de cordones flexibles e hilos aislados para portalámparas"
"1.341.5";"Fabricación de hilos y cables aislados para instalaciones de la construcción"
"1.341.9";"Fabricación de otros hilos y cables aislados"
"1.342.1";"Máquinas y aparatos para la producción y transformación de energía eléctrica"
"1.342.2";"Otro material eléctrico de utilización y equipamiento"
"1.343.1";"Pilas eléctricas"
"1.343.2";"Acumuladores eléctricos"
"1.343.3";"Accesorios, partes y piezas sueltas de pilas y acumuladores eléctricos"
"1.345.1";"Fabricación de cocinas, hornos, placas y otros aparatos eléctricos de cocina"
"1.345.2";"Fabricación de refrigeradores y congeladores de uso doméstico"
"1.345.3";"Fabricación de lavavajillas, lavadoras y secadoras de ropa, uso doméstico"
"1.345.4";"Fabricación de calentadores eléctricos de agua y aparatos eléctricos calefacción"
"1.345.5";"Fabricación de ventiladores y acondicionadores de aire de uso doméstico"
"1.345.6";"Fabricación de aparatos eléctricos auxiliares de cocina"
"1.345.7";"Fabricación de aparatos eléctricos para el cuidado y conservación del hogar"
"1.345.8";"Fabricación de otros aparatos electrodomésticos"
"1.345.9";"Fabricación de accesorios, partes y piezas sueltas de aparatos electrodomésticos"
"1.346.1";"Fabricación de lámparas eléctricas"
"1.346.2";"Fabricación de luminarias para alta intensidad de descarga"
"1.346.3";"Fabricación de artículos de carbón y grafito para usos eléctricos"
"1.346.4";"Fabricación de otro material de alumbrado"
"1.346.5";"Fabricación de accesorios, partes y piezas sueltas de lámparas y mat. alumbrado"
"1.351.1";"Fabricación de aparatos y equipo telefónico y telegráfico"
"1.351.2";"Fabricación de aparatos y equipo de radiocomunicación, radiodifusión"
"1.354.1";"Fabricación de válvulas y tubos electrónicos y de rayos X"
"1.354.2";"Fabricación de otros componentes electrónicos activos"
"1.354.3";"Fabricación de componentes electrónicos pasivos"
"1.354.4";"Fabricación de accesorios, componentes electrónicos y circuitos integrados"
"1.355.1";"Fabricación de receptores de radio y televisión y reproducción"
"1.355.2";"Edición de soportes grabados de sonido, vídeo y de informática"
"1.361.1";"Construcción y montaje de automóviles de turismo"
"1.361.2";"Construcción y montaje de autobuses y autocares"
"1.361.3";"Construcción y montaje de camiones"
"1.361.4";"Construcción y montaje de otros vehículos automóviles"
"1.361.5";"Construcción y montaje de motores para vehículos automóviles"
"1.361.6";"Construcción y montaje de chasis con motor para vehículos automóviles"
"1.361.7";"Construcción y montaje de componentes para vehículos automóviles"
"1.362.1";"Construcción de carrocerías para vehículos automóviles y remolques"
"1.362.2";"Construcción de remolques y volquetes"
"1.363.1";"Fabricación de equipo, componentes y piezas repuesto veh. autom. (excep. eléc.)"
"1.363.2";"Fabricación de equipo, componentes, repuestos carrocerías automóviles"
"1.363.3";"Fabricación otro equipo, componentes, accesorios y piezas repuesto automóviles"
"1.363.9";"Fabricación otro equipo, componentes, accesorios y piezas repuesto automóviles"
"1.371.1";"Construcción de buques de casco de acero"
"1.371.2";"Construcción de buques y embarcaciones de casco de madera"
"1.371.3";"Construcción de buques y embarcaciones de casco plástico y otros materiales"
"1.371.4";"Construcción de artefactos flotantes"
"1.371.5";"Construcción de motores, turbinas y otras máquinas de propulsión buques"
"1.371.6";"Construcción de accesorios buques, embarcaciones y artefactos flotantes"
"1.372.1";"Servicios de reparación y mantenimiento de buques"
"1.372.2";"Servicios de desguace de buques, embarcaciones y artefactos flotantes"
"1.381.1";"Construcción, reparación y mantenimiento de material ferroviario"
"1.381.2";"Servicios de reparación y mantenimiento de material ferroviario"
"1.382.1";"Construcción, reparación y mantenimiento aeronaves, ingenios aeronáut. espacial"
"1.382.2";"Servicios de reparación, revisión y mantenimiento de aeronaves"
"1.383.1";"Construcción de motocicletas scooters y ciclomotores"
"1.383.2";"Construcción de bicicletas, triciclos y monociclos excepto de niño"
"1.383.3";"Construcción de vehículos especiales con mecanismos de propulsión"
"1.383.4";"Construcción de motores para motocicletas, scooters, ciclomot. y veh. especiales"
"1.383.5";"Construcción de accesorios, partes y piezas sueltas de bicicletas y motocicletas"
"1.389.1";"Construcción de remolques agrícolas y vehículos de tracción animal"
"1.389.2";"Construcción de vehículos accionados a mano"
"1.389.9";"Construcción de accesorios, partes y piezas sueltas de otro material transporte"
"1.391.1";"Fabricación de contadores no eléctricos"
"1.391.2";"Fabricación de instrumentos y aparatos para la navegación y aeronáutica"
"1.391.3";"Fabricación de instrumentos y aparatos de topografía, meteorología, hidrología"
"1.391.4";"Fabricación de aparatos de medida, control y regulación densidad, temp., humedad"
"1.391.5";"Fabricación de instrumentos y aparatos para ensayos mecánicos de material"
"1.391.6";"Fabricación de balanzas de precisión y otros instrumentos y aparatos de medida"
"1.391.7";"Fabricación de otros instrumentos y aparatos de precisión, medida y control"
"1.391.8";"Fabricación de accesorios, partes y piezas de instrum. y aparatos de medida"
"1.392.1";"Fabricación de material médico-quirúrgico"
"1.392.2";"Fabricación de aparatos de prótesis y ortopedia"
"1.393.1";"Instrumentos ópticos, material fotográfico y cinematográfico"
"1.393.2";"Fabricación de monturas para gafas (excepto de plástico)"
"1.990.8";"ACTIVIDAD FICTICIA PARA PODER CARGAR LOCALES AFECTOS IAE"
"1.647.5";"PTOS.ALIMENTICIOS Y BEB. MAQUINAS"
"1.199.9";"OTROS SERVICIOS N.C.O.P."
"1.150.13";"ALBA±ILERIA Y PEQ. TRABAJOS CONSTRUCCION"
"1.165.39";"COM.MEN.ART.HOGAR NCOP"
"1.184.5";"EXPLOTACION ELECTRONICA POR TERCEROS"
"1.149.42";"FAB. ART. DEPORTE"
"1.161.66";"COM.MAY.PTOS. QUIMICOS INDUSTRIALES"
"1.999.08";"ACTIVIDAD FICTICIA PARA PODER CARGAR LOCALES AFECTOS IAE"
"1.165.92";"COM.MEN.MUEBLES Y MAQUINAS DE OFICINA"
"1.192.21";"SERV. LIMPIEZA INTERIORES"
"1.196.69";"OTROS SERVICIOS CULTURALES NCOP"
"1.196.11";"PRODUCCION PELICULAS CINEMATOGRAFICAS"
"1.166.12";"COM.MEN.EN HIPERMERCADOS"
"1.843.6";"Inspección Técnica de Vehículos"
"1.165.12";"COM.MEN.PRENDAS DE VESTIR Y TOCADO"
"1.166.11";"COM.MEN.GRANDES ALMACENES"
"1.181.96";"ENTIDADES DE CAMBIO DE MONEDA"
"1.150.7";"CONSTRUCCION DE TODA CLASE DE OBRAS"
"1.952";"Asistencia y servicios sociales en centros no residenciales"
"1.854.2";"Alquiler de automóviles sin conductor en régimen de renting"
"1.659.7";"Venta al por menor de semillas, abonos, flores, plantas y pequeños animales"
"1.659.8";"Venta al por menor denominados sex shop"
"1.659.9";"Venta al por menor de otros productos no especificados en esta agrupación"
"1.661.1";"Comercio en grandes almacenes"
"1.661.2";"Comercio en hipermercados"
"1.661.3";"Comercio en almacenes populares"
"1.662.1";"Venta al por menor de todos los artículos en economatos y cooperativas"
"1.662.2";"Venta al por menor de toda clase de artículos, pequeños establecimientos"
"1.663.1";"Venta al por menor de productos alimenticios fuera de establecimiento comercial"
"1.663.2";"Venta al por menor de artículos textiles fuera de establecimiento comercial"
"1.663.3";"Venta al por menor de calzado fuera de establecimiento comercial"
"1.663.4";"Venta al por menor de artículos de droguería fuera de establecimiento comercial"
"1.663.9";"Venta al por menor de otra clase de mercancías fuera de establecimiento"
"1.664.11";"Autoventa de música grabada expositores, titular establecimiento"
"1.664.12";"Autoventa de música grabada, propietario de la máquina"
"1.664.21";"Venta de carretes fotográficos en expositores, titular establecimiento"
"1.664.22";"Venta de carretes fotográficos en expositores, propietario expositor"
"1.664.91";"Venta al por menor de artículos diversos, aparatos automáticos, titular establec"
"1.664.92";"Venta de artículos diversos mediante aparatos automáticos, propietario"
"1.671.1";"Restaurante cinco tenedores"
"1.671.2";"Restaurante cuatro tenedores"
"1.671.3";"Restaurante tres tenedores"
"1.671.4";"Restaurante dos tenedores"
"1.671.5";"Restaurante un tenedor"
"1.672.1";"Cafetería tres tazas"
"1.672.2";"Cafetería dos tazas"
"1.672.3";"Cafetería una taza"
"1.673.1";"Bar categoría especial"
"1.673.2";"Otros cafés y bares"
"1.674.1";"Servicios de restaurante en vehículos de tracción mecánica"
"1.674.2";"Servicio de restaurante y cafetería en ferrocarriles"
"1.674.3";"Servicios de restaurante y cafetería en barcos"
"1.674.4";"Servicios de restaurante y cafetería en aeronaves"
"1.674.5";"Servicio de restaurante y cafetería en sociedades, casinos, clubs"
"1.674.6";"Servicios de restaurante, cafetería en teatros y demás espectáculos"
"1.674.7";"Servicios que se prestan en parques o recintos feriales"
"1.677.1";"Otros servicios de alimentación fuera de establecimiento"
"1.677.9";"Otros servicios de alimentación propios de la restauración"
"1.687.1";"Campamentos turísticos de lujo"
"1.687.2";"Campamentos turísticos de primera clase"
"1.687.3";"Campamentos turísticos de segunda clase"
"1.687.4";"Campamentos turísticos de tercera clase"
"1.691.1";"Reparación de artículos eléctricos para el hogar"
"1.691.2";"Reparación de vehículos automóviles, bicicletas y otros vehículos"
"1.691.9";"Reparación de otros bienes de consumo n.c.o.p"
"1.711.1";"Transporte ferroviario de viajeros por vía normal"
"1.711.2";"Transporte ferroviario de mercancías por vía normal"
"1.712.1";"Transporte ferroviario de viajeros por vía estrecha"
"1.712.2";"Transporte ferroviario de mercancías por vía estrecha"
"1.721.1";"Transporte urbano colectivo"
"1.721.2";"Transporte por autotaxis"
"1.721.3";"Transporte de viajeros por carretera"
"1.729.1";"Servicios de transporte por ferrocarril de cremallera"
"1.729.2";"Servicios de transporte por teleféricos y funiculares"
"1.729.3";"Otros servicios de transportes terrestres n.c.o.p"
"1.731.1";"Transporte marítimo internacional de pasajeros"
"1.731.2";"Transporte marítimo internacional de mercancías"
"1.732.1";"Transporte marítimo internacional de productos petrolíferos y gases"
"1.732.2";"Transporte de cabotaje de productos petrolíferos y gases"
"1.732.3";"Transporte por vías navegables interiores de productos petrolíferos"
"1.733.1";"Transporte de cabotaje y por vías navegables interiores de viajeros"
"1.733.2";"Transporte de cabotaje y por vías navegables interiores de mercancías"
"1.733.3";"Servicios de transbordadores, ferry-boats y análogos"
"1.733.4";"Transporte marítimo de pasajeros mediante jet-foil y similares"
"1.741.1";"Transporte aéreo nacional de viajeros (servicios regulares)"
"1.741.2";"Transporte aéreo nacional de mercancías (servicios regulares)"
"1.741.3";"Transporte aéreo internacional de viajeros (servicios regulares)"
"1.741.4";"Transporte aéreo internacional de mercancías (servicios regulares)"
"1.742.1";"Transporte aéreo nacional de viajeros (servicios no regulares)"
"1.742.2";"Transporte aéreo nacional de mercancías (servicios no regulares)"
"1.742.3";"Transporte aéreo internacional de viajeros (servicios no regulares)"
"1.742.4";"Transporte aéreo internacional de mercancías (servicios no regulares)"
"1.751.1";"Guarda y custodia de vehículos en garajes y locales cubiertos"
"1.751.2";"Guarda y custodia de vehículos en parkings"
"1.751.3";"Guarda y custodia de vehículos en solares"
"1.751.4";"Explotación de autopistas, carreteras, puentes y túneles peaje"
"1.751.5";"Engrase y lavado de vehículos"
"1.751.6";"Servicios de carga y descarga de mercancías"
"1.752.1";"Servicios de pilotaje y prácticos en puertos"
"1.752.2";"Servicios de transbordo de unos barcos a otros"
"1.752.3";"Servicios de remolque de navíos"
"1.752.4";"Servicio de limpieza y desinfección y similares a cargo de personal ajeno"
"1.752.5";"Servicios de salvamento y recuperación de barcos"
"1.752.6";"Servicios de carga y descarga de buques"
"1.752.7";"Servicios de explotación y mantenimiento de puertos, canales, etc"
"1.752.8";"Servicios de señales marítimas y costeras"
"1.753.1";"Terminales de líneas de transporte aéreo en aeropuertos"
"1.753.2";"Servicio de control de navegación aérea"
"1.753.3";"Servicios de hangares y estacionamiento de aeronaves"
"1.753.4";"Servicios de remolque, limpieza y mantenimiento de aeronaves"
"1.753.5";"Explotación integral de aeropuertos"
"1.753.9";"Otros servicios anexos al transporte aéreo n.c.o.p"
"1.754.1";"Depósitos y almacenes generales"
"1.754.2";"Depósitos y almacenes de vehículos"
"1.754.3";"Silos y otros almacenes de granos"
"1.754.4";"Almacenes frigoríficos"
"1.754.5";"Almacenes y depósitos de líquidos"
"1.754.6";"Guardamuebles"
"1.754.9";"Otros depósitos y almacenes especiales n.c.o.p"
"1.755.1";"Servicios a otros agencias de viajes"
"1.755.2";"Servicios prestados al público por las agencias de viajes"
"1.756.1";"Agencias de transporte, transitarios"
"1.756.2";"Consignatarios de buques"
"1.756.9";"Otros servicios de mediación de transporte"
"1.761.1";"Servicios telefónicos en domicilios particulares"
